playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player,season_age,start_league,league,probability,gp,ppg,gpg,apg,perc_team_a,perc_team_g,perc_team_tp,start_node,node,epoints,nhl_xvalue,xvalue,cond_probability
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,20.0,KHL,NHL,0.11435832288895144,82.0,0.47912025451660156,0.1557140827178955,0.32340617179870607,0.06504688930883554,0.055833437286351276,0.061505107767693995,1,3,39.28786087036133,60.8,8.957632278442382,0.114
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,21.0,KHL,KHL,0.6484983280408382,52.0,0.419503390789032,0.13633860200643538,0.2831647887825966,0.059928205622923725,0.04859309330391096,0.055534863098984824,2,4,21.814176321029663,30.6,37.57238826852035,0.574128
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,21.0,KHL,AHL,0.2725250296616395,76.0,0.720150887966156,0.23404903858900067,0.48610184937715534,0.09105553319172027,0.07539809944372539,0.08484094998092251,2,5,54.731467485427856,39.3,39.71501367732096,0.241878
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,21.0,KHL,NHL,0.07897664229752233,82.0,0.42344221472740173,0.13761871978640555,0.2858234949409962,0.059393474996052666,0.050701876675411,0.056220534274771035,2,6,34.72226160764694,24.8,7.29104993689692,0.069994
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,21.0,NHL,NHL,1.0,82.0,0.5742104053497314,0.1866183817386627,0.38759202361106876,0.07700341906257528,0.06509922472444538,0.07243679355915177,3,7,47.08525323867798,44.7,16.103156607627866,0.114
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,22.0,KHL,KHL,0.6369495149295872,52.0,0.35774457454681396,0.11626698672771452,0.24147758781909945,0.05386812749187443,0.044086180563775564,0.050126835513701826,4,8,18.602717876434326,3.7,27.213509400433868,0.365719536
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,22.0,KHL,AHL,0.23845328058588997,76.0,0.6015323996543884,0.1954980298876762,0.4060343697667122,0.07835416261925802,0.06546147049249673,0.07331723458842564,4,9,45.71646237373352,8.0,24.98724025644095,0.136642464
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,22.0,KHL,NHL,0.1245972044845229,82.0,0.39657604694366455,0.12888721525669097,0.2676888316869736,0.05740890898165327,0.04952697715461412,0.05456547495279271,4,10,32.51923584938049,9.6,9.335101919866561,0.071766
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,22.0,AHL,AHL,0.5065502154991015,76.0,0.704788088798523,0.22905612885951993,0.475731959939003,0.09041457737168626,0.0753216942473531,0.08442316496297715,5,11,53.563894748687744,9.1,26.274621444598836,0.12263214600000001
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,22.0,AHL,NHL,0.49344978450089844,82.0,0.37461715936660767,0.12175057679414747,0.2528665825724602,0.05484407895750255,0.04743005109937974,0.05220363050088096,5,12,30.71860706806183,15.6,14.652266134085878,0.11924585400000001
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,22.0,NHL,NHL,1.0,82.0,0.5731174945831299,0.1862631857395172,0.3868543088436127,0.07802920697369847,0.06638549788272133,0.0735538429735567,6,13,46.99563455581665,11.6,13.157649780399323,0.069994
