,playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player_name,nhl_likelihood,most_likelihood_nhl_node,nhl_expected_value
33,267790,1998-04-16,"Guelph, ON, CAN",Canada,185.0,94.0,L,Philadelphia Flyers,True,2016,4,109,Philadelphia Flyers,connor-bunnaman,,,,,2016,2020-06-03,Connor Bunnaman,0.04,3,2.2
34,355485,2000-01-03,"Raleigh, NC, USA",USA,178.0,72.0,L,Colorado Avalanche,False,2018,4,109,Colorado Avalanche,tyler-weiss,,,,,2018,2020-06-03,Tyler Weiss,0.07,14,2.3
35,228366,1999-05-11,"Bratislava, SVK",Slovakia,194.0,92.0,L,Calgary Flames,True,2017,4,109,Calgary Flames,adam-ruzicka,,,,,2017,2020-06-03,Adam Ruzicka,0.24,5,7.4
36,241370,2000-06-13,"Yarmouth, ME, USA",USA                                                                                             /  Sweden,180.0,85.0,R,New York Islanders,True,2018,1,11,New York Islanders,oliver-wahlstrom,,,,,2018,2020-06-03,Oliver Wahlstrom,0.78,9,68.8
37,286867,1999-08-16,"Kingston, ON, CAN",Canada,191.0,91.0,R,Los Angeles Kings,True,2017,1,11,Los Angeles Kings,gabriel-vilardi,,,,,2017,2020-06-03,Gabriel Vilardi,0.78,4,40.1
38,344555,2001-02-26,"Skutskär, SWE",Sweden,184.0,89.0,R,Arizona Coyotes,True,2019,1,11,Arizona Coyotes,victor-soderstrom,,,,,2019,2020-06-03,Victor Söderström,0.89,23,120.5
39,335702,2000-01-06,"Mercier, QC, CAN",Canada,191.0,92.0,L,,,2018,4,110,New Jersey Devils,xavier-bernard,,,,,2018,2020-06-03,Xavier Bernard,0.24,12,8.7
40,162892,1998-07-28,"Beaumont, AB, CAN",Canada,184.0,84.0,L,San Jose Sharks,True,2016,4,111,San Jose Sharks,noah-gregor,,,,,2016,2020-06-03,Noah Gregor,0.47,3,7.2
41,381262,2001-05-19,"Stockholm, SWE",Sweden                                                                                             /  USA,186.0,78.0,L,Dallas Stars,False,2019,4,111,Dallas Stars,samuel-sjolund,,,,,2019,2020-06-03,Samuel Sjölund,0.06,54,2.9
42,271580,1999-12-21,"Hannover, GER",Czech Rep.,201.0,104.0,L,Nashville Predators,False,2018,4,111,Nashville Predators,jachym-kondelik,,,,,2018,2020-06-03,Jáchym Kondelík,0.14,7,5.7
43,359531,2001-04-29,"Pinckney, MI, USA",USA,191.0,79.0,R,New York Rangers,False,2019,4,112,New York Rangers,hunter-skinner,,,,,2019,2020-06-03,Hunter Skinner,0.25,24,12.3
44,300076,1999-07-22,"Manhattan Beach, CA, USA",USA,191.0,90.0,R,Philadelphia Flyers,False,2018,4,112,Philadelphia Flyers,john-st.-ivany,,,,,2017,2020-06-03,John St. Ivany,0.1,7,5.2
45,312825,1999-06-25,"Moskva, RUS",Russia,191.0,91.0,L,St. Louis Blues,True,2017,4,113,St. Louis Blues,alexei-toropchenko,,,,,2017,2020-06-03,Alexei Toropchenko,0.08,5,2.0
46,348180,2000-06-15,"Parry Sound, ON, CAN",Canada,174.0,84.0,R,Los Angeles Kings,True,2018,4,113,Los Angeles Kings,aidan-dudas,,,,,2018,2020-06-03,Aidan Dudas,0.32,12,14.6
47,395081,2001-04-28,"Mikkeli, FIN",Finland,193.0,92.0,L,Winnipeg Jets,False,2019,4,113,Winnipeg Jets,henri-nikkanen,,,,,2019,2020-06-03,Henri Nikkanen,0.15,66,7.0
48,450012,2000-09-10,"Angarsk, RUS",Russia,192.0,86.0,L,Columbus Blue Jackets,False,2019,4,114,Columbus Blue Jackets,dmitri-voronkov,,,,,2018,2020-06-03,Dmitri Voronkov,0.06,21,1.3
49,252469,1998-03-09,"Peterborough, ON, CAN",Canada                                                                                             /  USA,185.0,89.0,L,Florida Panthers,True,2016,4,114,Florida Panthers,riley-stillman,,,,,2016,2020-06-03,Riley Stillman,0.58,2,18.3
50,272770,1999-02-11,"Praha, CZE",Czech Rep.,195.0,93.0,L,Edmonton Oilers,True,2017,4,115,Edmonton Oilers,ostap-safin,,,,,2017,2020-06-03,Ostap Safin,0.16,12,7.0
51,284097,1999-11-16,"Canton, MI, USA",USA,183.0,90.0,L,Vegas Golden Knights,True,2018,4,115,Vegas Golden Knights,paul-cotter,,,,,2018,2020-06-03,Paul Cotter,0.16,5,4.9
52,514653,2001-03-26,"Moskva, RUS",Russia,180.0,73.0,L,Toronto Maple Leafs,True,2019,4,115,Toronto Maple Leafs,mikhail-abramov,,,,,2019,2020-06-03,Mikhail Abramov,0.33,18,28.6
53,385539,2001-02-19,"Stockholm, SWE",Sweden,184.0,84.0,L,Calgary Flames,False,2019,4,116,Calgary Flames,lucas-feuk,,,,,2019,2020-06-03,Lucas Feuk,0.05,38,3.3
54,363892,2000-09-13,"Elk River, MN, USA",USA,185.0,82.0,R,Anaheim Ducks,False,2018,4,116,Anaheim Ducks,jack-perbix,,,,,2018,2020-06-03,Jack Perbix,0.12,10,4.9
55,273632,1999-09-05,"Calgary, AB, CAN",Canada,188.0,87.0,L,Minnesota Wild,False,2017,4,116,Minnesota Wild,bryce-misley,,,,,2017,2020-06-03,Bryce Misley,0.03,6,0.6
56,517832,2001-08-07,"Yekaterinburg, RUS",Russia,176.0,76.0,L,Nashville Predators,False,2019,4,117,Nashville Predators,semyon-chistyakov,,,,,2019,2020-06-03,Semyon Chistyakov,0.1,37,4.5
57,313359,1999-06-01,"Nyköping, SWE",Sweden,179.0,82.0,R,Columbus Blue Jackets,True,2017,4,117,Columbus Blue Jackets,emil-bemstrom,,,,,2017,2020-06-03,Emil Bemström,0.8,4,50.0
58,345052,2000-07-03,"Malmö, SWE",Sweden,186.0,78.0,L,Buffalo Sabres,False,2018,4,117,Buffalo Sabres,linus-cronholm,,,,,2018,2020-06-03,Linus Cronholm,0.06,29,2.3
59,290196,2001-01-09,"Clarence Center, NY, USA",USA,185.0,90.0,R,New Jersey Devils,False,2019,4,118,New Jersey Devils,case-mccarthy,,,,,2019,2020-06-03,Case McCarthy,0.11,19,6.2
60,201660,1999-03-21,"Port Perry, ON, CAN",Canada,183.0,88.0,L,Los Angeles Kings,True,2017,4,118,Los Angeles Kings,markus-phillips,,,,,2017,2020-06-03,Markus Phillips,0.09,6,2.2
61,285300,2000-04-26,"Chagrin Falls, OH, USA",USA                                                                                             /  Canada,191.0,89.0,R,Boston Bruins,False,2018,4,119,Boston Bruins,curtis-hall,,,,,2018,2020-06-03,Curtis Hall,0.19,17,15.1
62,249738,1998-08-23,"Helsinki, FIN",Finland,187.0,91.0,R,Chicago Blackhawks,False,2017,4,119,Chicago Blackhawks,roope-laavainen,,,,,2016,2020-06-03,Roope Laavainen,0.0,4,0.4
63,332966,2000-11-14,"Kuopio, FIN",Finland,177.0,77.0,L,Los Angeles Kings,False,2019,4,119,Los Angeles Kings,kim-nousiainen,,,,,2019,2020-06-03,Kim Nousiainen,0.06,19,2.9
64,201245,1998-01-28,"Brandon, MB, CAN",Canada,185.0,93.0,L,St. Louis Blues,True,2016,4,119,St. Louis Blues,tanner-kaspick,,,,,2016,2020-06-03,Tanner Kaspick,0.03,3,1.7
65,275797,2000-01-07,"Summerside, PE, CAN",Canada,193.0,83.0,R,New York Islanders,True,2018,1,12,New York Islanders,noah-dobson,,,,,2018,2020-06-03,Noah Dobson,0.93,7,83.0
66,375501,2001-04-05,"Millis, MA, USA",USA,188.0,87.0,L,Minnesota Wild,False,2019,1,12,Minnesota Wild,matthew-boldy,,,,,2019,2020-06-03,Matthew Boldy,0.81,28,95.3
67,237071,1999-01-15,"Nove Mesto na Morave, CZE",Czech Rep.,188.0,86.0,R,Carolina Hurricanes,True,2017,1,12,Carolina Hurricanes,martin-necas,,,,,2017,2020-06-03,Martin Necas,1.0,3,72.5
68,274212,1999-02-13,"Stans, SUI",Switzerland,193.0,91.0,L,Washington Capitals,True,2017,4,120,Washington Capitals,tobias-geisser,,,,,2017,2020-06-03,Tobias Geisser,0.02,9,0.3
69,279238,1999-10-12,"Davos, SUI",Switzerland                                                                                             /  Russia,183.0,87.0,L,Chicago Blackhawks,True,2018,4,120,Chicago Blackhawks,philipp-kurashev,,,,,2018,2020-06-03,Philipp Kurashev,0.25,5,7.9
70,281733,2000-04-19,"Calgary, AB, CAN",Canada,185.0,88.0,R,Tampa Bay Lightning,False,2019,4,120,Tampa Bay Lightning,maxwell-crozier,,,,,2018,2020-06-03,Maxwell Crozier,0.16,10,9.6
71,161063,1999-03-22,"Calgary, AB, CAN",Canada,180.0,81.0,R,,,2017,4,122,Anaheim Ducks,kyle-olson,,,,,2017,2020-06-03,Kyle Olson,0.18,6,4.3
72,418534,2001-03-20,"Whitby, ON, CAN",Canada,188.0,95.0,L,Vancouver Canucks,False,2019,4,122,Vancouver Canucks,ethan-keppen,,,,,2019,2020-06-03,Ethan Keppen,0.16,20,7.2
73,223844,1999-11-06,"Kysucke Nove Mesto, SVK",Slovakia,182.0,87.0,L,,,2018,4,122,Calgary Flames,milos-roman,,,,,2018,2020-06-03,Milos Roman,0.2,5,7.9
74,396630,2001-06-27,"Laitila, FIN",Finland,180.0,85.0,L,Chicago Blackhawks,False,2019,4,123,Chicago Blackhawks,antti-saarela,,,,,2019,2020-06-03,Antti Saarela,0.06,21,2.3
75,431145,1999-09-15,"West Salem, WI, USA",USA,180.0,80.0,L,Montréal Canadiens,False,2018,4,123,Montréal Canadiens,jack-gorniak,,,,,2017,2020-06-03,Jack Gorniak,0.01,6,0.3
76,322627,1998-04-20,"Salekhard, RUS",Russia,187.0,93.0,L,Toronto Maple Leafs,False,2017,4,124,Toronto Maple Leafs,vladislav-kara,,,,,2016,2020-06-03,Vladislav Kara,0.01,4,1.8
77,201476,1999-06-04,"Slate Hill, NY, USA",USA,175.0,73.0,L,Toronto Maple Leafs,False,2019,4,124,Toronto Maple Leafs,nicholas-abruzzese,,,,,2017,2020-06-03,Nicholas Abruzzese,0.17,7,9.9
78,300828,1998-01-08,"Roseville, MN, USA",USA,183.0,82.0,L,,,2016,5,124,Montréal Canadiens,casey-staum,,,,,2016,2020-06-03,Casey Staum,0.01,3,1.5
79,312234,1998-07-10,"Magnitogorsk, RUS",Russia,185.0,87.0,L,,,2017,5,125,Colorado Avalanche,igor-shvyryov,,,,,2016,2020-06-03,Igor Shvyryov,0.05,3,6.0
80,383305,2000-06-19,"Jokioinen, FIN",Finland,186.0,92.0,R,Buffalo Sabres,False,2018,5,125,Buffalo Sabres,miska-kukkonen,,,,,2018,2020-06-03,Miska Kukkonen,0.07,10,1.6
81,201687,1999-10-02,"North Vancouver, BC, CAN",Canada,180.0,82.0,L,Ottawa Senators,False,2018,5,126,Ottawa Senators,angus-crookshank,,,,,2018,2020-06-03,Angus Crookshank,0.02,7,0.7
82,291902,1998-01-02,"Grand Rapids, MN, USA",USA,193.0,87.0,L,Calgary Flames,False,2016,5,126,Calgary Flames,mitchell-mattson,,,,,2016,2020-06-03,Mitchell Mattson,0.01,3,0.6
83,350368,1998-12-18,"Green Bay, WI, USA",USA,188.0,91.0,L,Arizona Coyotes,False,2017,5,126,Arizona Coyotes,michael-karow,,,,,2017,2020-06-03,Michael Karow,0.01,4,1.1
84,300751,2000-11-22,"Gloucester, ON, CAN",Canada,190.0,90.0,L,Montréal Canadiens,False,2019,5,126,Montréal Canadiens,jacob-leguerrier,,,,,2019,2020-06-03,Jacob LeGuerrier,0.15,11,3.1
85,290074,1999-08-18,"Ängelholm, SWE",Sweden,185.0,78.0,L,Vegas Golden Knights,True,2017,5,127,Vegas Golden Knights,lucas-elvenes,,,,,2017,2020-06-03,Lucas Elvenes,0.22,6,11.0
86,286578,2000-04-24,"Estevan, SK, CAN",Canada,178.0,77.0,L,,,2018,5,128,Montréal Canadiens,cole-fonstad,,,,,2018,2020-06-03,Cole Fonstad,0.3,13,21.2
87,245573,1999-02-06,"Kitimat, BC, CAN",Canada,180.0,75.0,L,Pittsburgh Penguins,True,2018,5,129,Pittsburgh Penguins,justin-almeida,,,,,2017,2020-06-03,Justin Almeida,0.17,13,4.9
88,519772,2001-03-15,"Krasnoyarsk, RUS",Russia,178.0,71.0,L,New Jersey Devils,False,2019,5,129,New Jersey Devils,arseni-gritsyuk,,,,,2019,2020-06-03,Arseni Gritsyuk,0.03,61,1.7
89,300436,1999-08-10,"London, ON, CAN",Canada,180.0,83.0,R,Montréal Canadiens,True,2017,1,13,Vegas Golden Knights,nick-suzuki,,,,,2017,2020-06-03,Nick Suzuki,1.0,3,55.7
90,399353,2000-07-21,"Toronto, ON, CAN",Canada,185.0,86.0,R,Dallas Stars,True,2018,1,13,Dallas Stars,ty-dellandrea,,,,,2018,2020-06-03,Ty Dellandrea,0.75,10,46.6
91,355654,2000-04-27,"Kokkola, FIN",Finland,180.0,78.0,L,Vancouver Canucks,False,2018,5,130,Vancouver Canucks,toni-utunen,,,,,2018,2020-06-03,Toni Utunen,0.04,11,0.9
92,347570,2001-01-24,"Mikkeli, FIN",Finland,175.0,80.0,L,New York Rangers,False,2019,5,130,New York Rangers,leevi-aaltonen,,,,,2019,2020-06-03,Leevi Aaltonen,0.13,29,8.2
93,201615,1998-01-29,"Pardubice, CZE",Czech Rep.,185.0,92.0,L,,,2016,5,130,Buffalo Sabres,vojtech-budik,,,,,2016,2020-06-03,Vojtech Budik,0.06,4,2.6
94,284907,1999-04-10,"Québec, QC, CAN",Canada,185.0,88.0,L,,,2017,5,130,St. Louis Blues,david-noel,,,,,2017,2020-06-03,David Noël,0.15,5,4.9
95,297963,1999-08-23,"Ottawa, ON, CAN",Canada,188.0,90.0,R,,,2017,5,131,Detroit Red Wings,cole-fraser,,,,,2017,2020-06-03,Cole Fraser,0.15,17,0.7
96,283918,2000-01-04,"Mequon, WI, USA",USA,178.0,81.0,L,Nashville Predators,False,2018,5,131,Nashville Predators,spencer-stastney,,,,,2018,2020-06-03,Spencer Stastney,0.1,10,5.0
97,313350,1999-07-19,"Lidköping, SWE",Sweden,186.0,82.0,L,Dallas Stars,False,2017,5,132,Dallas Stars,jacob-peterson,,,,,2017,2020-06-03,Jacob Peterson,0.03,10,0.6
98,285894,1999-09-12,"Tampere, FIN",Finland,182.0,83.0,R,New York Rangers,False,2018,5,132,New York Rangers,lauri-pajuniemi,,,,,2017,2020-06-03,Lauri Pajuniemi,0.17,9,7.8
99,363897,2000-12-25,"Maple Grove, MN, USA",USA,178.0,88.0,R,Anaheim Ducks,False,2019,5,132,Anaheim Ducks,trevor-janicke,,,,,2019,2020-06-03,Trevor Janicke,0.11,10,6.2
100,241387,2000-03-06,"Blainville, QC, CAN",Canada,183.0,77.0,L,,,2018,5,133,Montréal Canadiens,samuel-houde,,,,,2018,2020-06-03,Samuel Houde,0.13,12,3.8
101,201486,1999-05-06,"Barrington, IL, USA",USA,188.0,88.0,L,Florida Panthers,False,2017,5,133,Florida Panthers,tyler-inamoto,,,,,2017,2020-06-03,Tyler Inamoto,0.01,6,0.5
102,284094,2000-08-11,"Jackson, MI, USA",USA,185.0,88.0,L,New York Islanders,True,2018,5,134,New York Islanders,blade-jenkins,,,,,2018,2020-06-03,Blade Jenkins,0.14,13,3.0
103,352089,2001-03-18,"Sheffield, GBR",Canada,180.0,84.0,L,Winnipeg Jets,False,2019,5,134,Winnipeg Jets,harrison-blaisdell,,,,,2019,2020-06-03,Harrison Blaisdell,0.11,23,6.5
104,273154,1999-03-26,"Saline, MI, USA",USA,175.0,70.0,L,Vegas Golden Knights,False,2018,5,135,Vegas Golden Knights,brandon-kruse,,,,,2017,2020-06-03,Brandon Kruse,0.13,7,6.8
105,279893,1998-02-25,"Tampere, FIN",Finland,195.0,87.0,L,Boston Bruins,True,2016,5,135,Boston Bruins,joona-koppanen,,,,,2016,2020-06-03,Joona Koppanen,0.07,3,4.1
106,243313,1999-05-31,"Berlin, GER",Germany,186.0,90.0,R,Winnipeg Jets,True,2017,5,136,Winnipeg Jets,leon-gawanke,,,,,2017,2020-06-03,Leon Gawanke,0.17,7,4.3
107,351688,2001-06-26,"Vancouver, BC, CAN",Canada,185.0,80.0,R,Florida Panthers,False,2019,5,136,Florida Panthers,henrik-rybinski,,,,,2019,2020-06-03,Henrik Rybinski,0.12,26,2.3
108,201517,1999-02-05,"Stillwater, MN, USA",USA,188.0,86.0,L,Philadelphia Flyers,False,2017,5,137,Philadelphia Flyers,noah-cates,,,,,2017,2020-06-03,Noah Cates,0.08,10,2.0
109,315962,2001-05-17,"Enid, OK, USA",USA,183.0,87.0,R,Florida Panthers,False,2019,5,137,Florida Panthers,owen-lindmark,,,,,2019,2020-06-03,Owen Lindmark,0.14,19,10.1
110,305431,2000-03-20,"Mississauga, ON, CAN",Canada,178.0,78.0,R,Dallas Stars,True,2018,5,137,Dallas Stars,riley-damiani,,,,,2018,2020-06-03,Riley Damiani,0.16,13,5.2
111,268675,1998-04-11,"Markham, ON, CAN",Canada,190.0,93.0,R,,,2016,5,137,Detroit Red Wings,jordan-sambrook,,,,,2016,2020-06-03,Jordan Sambrook,0.12,6,0.6
112,233569,1998-07-11,"Chicago, IL, USA",USA,175.0,79.0,L,St. Louis Blues,True,2018,5,138,St. Louis Blues,hugh-mcging,,,,,2016,2020-06-03,Hugh McGing,0.11,4,13.6
113,221342,1998-01-26,"Helsinki, FIN",Finland,183.0,88.0,L,Chicago Blackhawks,True,2018,5,139,Chicago Blackhawks,mikael-hakkarainen,,,,,2016,2020-06-03,Mikael Hakkarainen,0.12,7,8.2
114,395520,2001-03-20,"Helsinki, FIN",Finland                                                                                             /  Brazil,186.0,87.0,L,Vegas Golden Knights,True,2019,5,139,Vegas Golden Knights,marcus-kallionkieli,,,,,2019,2020-06-03,Marcus Kallionkieli,0.13,25,3.7
115,334036,2000-02-25,"Cicero, NY, USA",USA,183.0,74.0,L,Philadelphia Flyers,True,2018,1,14,Philadelphia Flyers,joel-farabee,,,,,2018,2020-06-03,Joel Farabee,0.97,7,101.7
116,290129,2001-01-05,"Anaheim, CA, USA",USA,180.0,79.0,L,Philadelphia Flyers,False,2019,1,14,Philadelphia Flyers,cameron-york,,,,,2019,2020-06-03,Cameron York,0.81,27,97.9
117,247116,1998-02-13,"Mississauga, ON, CAN",Canada,191.0,88.0,L,,,2016,5,140,Vancouver Canucks,cole-candella,,,,,2016,2020-06-03,Cole Candella,0.2,5,6.4
118,239031,1998-06-14,"Grimsby, ON, CAN",Canada                                                                                             /  Sweden,188.0,91.0,L,,,2018,5,140,Colorado Avalanche,brandon-saigeon,,,,,2016,2020-06-03,Brandon Saigeon,0.19,5,8.3
119,452004,2001-07-28,"Owen Sound, ON, CAN",Canada,195.0,92.0,L,Vegas Golden Knights,False,2019,5,141,Vegas Golden Knights,mason-primeau,,,,,2019,2020-06-03,Mason Primeau,0.08,20,0.4
120,272570,1998-04-14,"North Olmsted, OH, USA",USA,198.0,100.0,L,New York Rangers,True,2016,5,141,New York Rangers,tim-gettinger,,,,,2016,2020-06-03,Tim Gettinger,0.09,3,2.9
121,273797,1999-01-27,"Toronto, ON, CAN",Canada                                                                                             /  Russia,200.0,102.0,L,Minnesota Wild,True,2017,5,141,Toronto Maple Leafs,fedor-gordeev,,,,,2017,2020-06-03,Fedor Gordeev,0.26,5,0.5
122,201479,1999-09-23,"Franklin, MA, USA",USA,188.0,89.0,L,Arizona Coyotes,False,2018,5,142,Arizona Coyotes,michael-callahan,,,,,2018,2020-06-03,Michael Callahan,0.13,10,2.0
123,372048,2001-03-12,"Sault Ste. Marie, ON, CAN",Canada,183.0,82.0,L,Dallas Stars,False,2019,5,142,Dallas Stars,nicholas-porco,,,,,2019,2020-06-03,Nicholas Porco,0.1,20,0.7
124,328238,2000-08-23,"Skara, SWE",Sweden,185.0,85.0,L,Buffalo Sabres,False,2019,5,143,Buffalo Sabres,filip-cederqvist,,,,,2018,2020-06-03,Filip Cederqvist,0.04,28,0.9
125,153054,1998-09-12,"Edmonton, AB, CAN",Canada,185.0,78.0,L,Chicago Blackhawks,False,2017,5,144,Chicago Blackhawks,parker-foo,,,,,2016,2020-06-03,Parker Foo,0.01,4,2.7
126,444997,2001-03-19,"Grand Forks, ND, USA",USA,193.0,93.0,R,Pittsburgh Penguins,False,2019,5,145,Pittsburgh Penguins,judd-caulfield,,,,,2019,2020-06-03,Judd Caulfield,0.12,19,8.3
127,266116,1999-09-02,"Östersund, SWE",Sweden,185.0,81.0,L,New York Rangers,False,2017,5,145,New York Rangers,calle-sjalin,,,,,2017,2020-06-03,Calle Själin,0.01,9,0.1
128,273629,2000-01-06,"Barrie, ON, CAN",Canada,180.0,86.0,R,,,2018,5,145,Arizona Coyotes,dennis-busby,,,,,2018,2020-06-03,Dennis Busby,0.08,12,1.1
129,247477,1998-02-04,"White Rock, BC, CAN",Canada,188.0,88.0,L,Washington Capitals,True,2016,5,145,Washington Capitals,beck-malenstyn,,,,,2016,2020-06-03,Beck Malenstyn,0.07,3,7.1
130,375639,2000-04-08,"Nizhny Novgorod, RUS",Russia,184.0,74.0,L,Colorado Avalanche,False,2018,5,146,Colorado Avalanche,daniil-zhuravlyov,,,,,2018,2020-06-03,Daniil Zhuravlyov,0.08,15,5.1
131,252448,1998-09-07,"Ancaster, ON, CAN",Canada,188.0,88.0,L,Dallas Stars,True,2016,5,146,Dallas Stars,nicholas-caamano,,,,,2016,2020-06-03,Nicholas Caamano,0.18,3,4.8
132,427432,2001-04-13,"Chaska, MN, USA",USA,175.0,78.0,L,Toronto Maple Leafs,False,2019,5,146,Toronto Maple Leafs,mike-koster,,,,,2019,2020-06-03,Mike Koster,0.07,53,8.5
133,273658,1999-06-01,"Moskva, RUS",Russia                                                                                             /  Canada,191.0,94.0,R,Edmonton Oilers,True,2017,5,146,Edmonton Oilers,kirill-maximov,,,,,2017,2020-06-03,Kirill Maximov,0.08,5,3.3
134,201654,1999-03-20,"Toronto, ON, CAN",Canada,183.0,84.0,L,,,2017,5,147,Minnesota Wild,jacob-golden,,,,,2017,2020-06-03,Jacob Golden,0.29,6,3.7
135,246070,1998-02-10,"Stockholm, SWE",Sweden,182.0,84.0,L,Washington Capitals,True,2016,5,147,Washington Capitals,axel-jonsson-fjallby,,,,,2016,2020-06-03,Axel Jonsson Fjällby,0.04,3,8.2
136,252451,1998-03-27,"Victoria, BC, CAN",Canada,188.0,95.0,R,,,2016,5,148,Tampa Bay Lightning,christopher-paquette,,,,,2016,2020-06-03,Christopher Paquette,0.13,6,0.3
137,289775,1999-06-14,"Stockholm, SWE",Sweden,188.0,86.0,R,Minnesota Wild,False,2018,5,148,Minnesota Wild,simon-johansson,,,,,2017,2020-06-03,Simon Johansson,0.08,9,3.1
138,247241,1999-10-20,"Blansko, CZE",Czech Rep.,185.0,78.0,L,Toronto Maple Leafs,True,2018,5,149,Toronto Maple Leafs,filip-kral,,,,,2018,2020-06-03,Filip Král,0.22,6,6.6
139,450910,2001-01-30,"Nizhnekamsk, RUS",Russia,185.0,78.0,L,Minnesota Wild,False,2019,5,149,Minnesota Wild,matvei-guskov,,,,,2019,2020-06-03,Matvei Guskov,0.09,20,0.9
140,226444,1998-07-24,"Las Vegas, NV, USA",USA                                                                                             /  Canada,183.0,79.0,L,Edmonton Oilers,False,2016,5,149,Edmonton Oilers,graham-mcphee,,,,,2016,2020-06-03,Graham McPhee,0.01,4,3.6
141,297994,1999-03-15,"Langley, BC, CAN",Canada,190.0,87.0,L,,,2017,5,149,Montréal Canadiens,jarret-tyszka,,,,,2017,2020-06-03,Jarret Tyszka,0.15,12,2.7
142,255167,1999-09-02,"Eksjö, SWE",Sweden,179.0,82.0,L,Ottawa Senators,True,2017,1,15,Vegas Golden Knights,erik-brannstrom,,,,,2017,2020-06-03,Erik Brännström,0.83,4,39.1
143,312827,2000-06-24,"Novosibirsk, RUS",Russia,180.0,82.0,R,Florida Panthers,True,2018,1,15,Florida Panthers,grigori-denisenko,,,,,2018,2020-06-03,Grigori Denisenko,0.42,19,36.5
144,316168,2001-01-02,"Stevens Point, WI, USA",USA                                                                                             /  Canada,170.0,74.0,R,Montréal Canadiens,False,2019,1,15,Montréal Canadiens,cole-caufield,,,,,2019,2020-06-03,Cole Caufield,0.89,28,178.3
145,236429,1999-06-15,"Ostrava, CZE",Czech Rep.,181.0,75.0,L,Chicago Blackhawks,False,2017,5,150,Chicago Blackhawks,jakub-galvas,,,,,2017,2020-06-03,Jakub Galvas,0.04,9,1.2
146,290052,2001-04-27,"Oak Park, MI, USA",USA,183.0,89.0,R,Calgary Flames,False,2019,5,150,Calgary Flames,josh-nodler,,,,,2019,2020-06-03,Josh Nodler,0.08,19,4.3
147,363643,2000-01-12,"Bowmanville, ON, CAN",Canada,185.0,86.0,L,Winnipeg Jets,True,2018,5,150,Winnipeg Jets,declan-chisholm,,,,,2018,2020-06-03,Declan Chisholm,0.13,14,0.5
148,383083,1999-04-24,"Mishutki, BLR",Belarus,183.0,85.0,R,Nashville Predators,False,2018,5,151,Nashville Predators,vladislav-yeryomenko,,,,,2017,2020-06-03,Vladislav Yeryomenko,0.02,9,0.5
149,244393,1999-03-19,"Ingarö, SWE",Sweden,184.0,92.0,L,Washington Capitals,False,2017,5,151,Washington Capitals,sebastian-walfridsson,,,,,2017,2020-06-03,Sebastian Walfridsson,0.01,9,0.1
150,312832,1999-04-06,"Khabarovsk, RUS",Russia,178.0,70.0,L,Carolina Hurricanes,False,2019,5,152,Carolina Hurricanes,kirill-slepets,,,,,2017,2020-06-03,Kirill Slepets,0.01,6,0.2
151,265944,1999-04-01,"Maribor, SLO",Slovenia,188.0,79.0,R,Pittsburgh Penguins,True,2017,5,152,Pittsburgh Penguins,jan-drozg,,,,,2017,2020-06-03,Jan Drozg,0.14,5,4.4
152,299432,2000-02-21,"Ottawa, ON, CAN",Canada,187.0,90.0,L,,,2018,5,153,Winnipeg Jets,giovanni-vallati,,,,,2018,2020-06-03,Giovanni Vallati,0.14,13,0.7
153,118081,1998-06-01,"Tampere, FIN",Finland,183.0,94.0,R,Edmonton Oilers,False,2016,6,153,Edmonton Oilers,aapeli-rasanen,,,,,2016,2020-06-03,Aapeli Räsänen,0.06,4,5.4
154,363485,2001-02-02,"Praha, CZE",Czech Rep.,194.0,85.0,R,Washington Capitals,False,2019,5,153,Washington Capitals,hugo-has,,,,,2019,2020-06-03,Hugo Has,0.09,25,2.8
155,404752,2000-08-07,"Markham, ON, CAN",Canada,188.0,87.0,R,Vegas Golden Knights,True,2018,5,154,Vegas Golden Knights,connor-corcoran,,,,,2018,2020-06-03,Connor Corcoran,0.13,13,1.7
156,514141,2001-02-10,"Yaroslavl, RUS",Russia,180.0,77.0,L,Boston Bruins,False,2019,5,154,Boston Bruins,roman-bychkov,,,,,2019,2020-06-03,Roman Bychkov,0.05,43,3.2
157,270155,2000-03-03,"Sudbury, ON, CAN",Canada,177.0,84.0,L,Minnesota Wild,True,2018,5,155,Minnesota Wild,damien-giroux,,,,,2018,2020-06-03,Damien Giroux,0.09,12,0.6
158,433833,2001-08-16,"Kitchener, ON, CAN",Canada,178.0,84.0,L,St. Louis Blues,False,2019,5,155,St. Louis Blues,keean-washkurak,,,,,2019,2020-06-03,Keean Washkurak,0.12,21,2.9
159,265859,1999-03-09,"Västerås, SWE",Sweden,180.0,81.0,L,Toronto Maple Leafs,False,2018,6,156,Toronto Maple Leafs,pontus-holmberg,,,,,2017,2020-06-03,Pontus Holmberg,0.04,10,0.4
160,433810,2001-01-23,"Millis, MA, USA",USA,180.0,83.0,R,New Jersey Devils,False,2019,6,158,New Jersey Devils,patrick-moynihan,,,,,2019,2020-06-03,Patrick Moynihan,0.15,19,16.7
